name,url,old_url
"Kota Tegal > LPSE Kota Tegal","https://spse.inaproc.id/tegalkota","https://lpse.tegalkota.go.id"
"Kota Tebing Tinggi > LPSE Kota Tebing Tinggi","https://spse.inaproc.id/tebingtinggikota","https://lpse.tebingtinggikota.go.id"
"Kota Tasikmalaya > LPSE Kota Tasikmalaya","https://spse.inaproc.id/tasikmalayakota","https://lpse.tasikmalayakota.go.id"
"Kota Tarakan > LPSE Kota Tarakan","https://spse.inaproc.id/tarakankota","https://lpse.tarakankota.go.id"
"Kota Tanjung Pinang > LPSE Kota Tanjung Pinang","https://spse.inaproc.id/tanjungpinangkota","https://lpse.tanjungpinangkota.go.id"
"Kota Tanjung Balai > LPSE Kota Tanjung Balai","https://spse.inaproc.id/tanjungbalaikota","https://lpse.tanjungbalaikota.go.id"
"Kota Tangerang Selatan > LPSE Kota Tangerang Selatan","https://spse.inaproc.id/tangerangselatankota","https://lpse.tangerangselatankota.go.id"
"Kota Tangerang > LPSE Kota Tangerang","https://spse.inaproc.id/tangerangkota","https://lpse.tangerangkota.go.id"
"Kota Surakarta > LPSE Kota Surakarta","https://spse.inaproc.id/surakarta","https://lpse.surakarta.go.id"
"Kota Surabaya > LPSE Kota Surabaya","https://spse.inaproc.id/surabaya","https://lpse.surabaya.go.id"
"Kota Sungai Penuh > LPSE Kota Sungai Penuh","https://spse.inaproc.id/sungaipenuhkota","https://lpse.sungaipenuhkota.go.id"
"Kota Sukabumi > LPSE Provinsi Jawa Barat","https://spse.inaproc.id/jabarprov","https://lpse.jabarprov.go.id"
"Kota Subulussalam > LPSE Kota Subulussalam","https://spse.inaproc.id/subulussalamkota","https://lpse.subulussalamkota.go.id"
"Kota Sorong > LPSE Kota Sorong","https://spse.inaproc.id/sorongkota","https://lpse.sorongkota.go.id"
"Kota Solok > LPSE Kota Solok","https://spse.inaproc.id/solokkota","https://lpse.solokkota.go.id"
"Kota Singkawang > LPSE Kota Singkawang","https://spse.inaproc.id/singkawangkota","https://lpse.singkawangkota.go.id"
"Kota Sibolga > LPSE Kota Sibolga","https://spse.inaproc.id/sibolgakota","https://lpse.sibolgakota.go.id"
"Kota Serang > LPSE Kota Serang","https://spse.inaproc.id/serangkota","https://lpse.serangkota.go.id"
